epoch,iteration,train/loss,train/acc,train/acc_cls,train/mean_iu,train/fwavacc,valid/loss,valid/acc,valid/acc_cls,valid/mean_iu,valid/fwavacc,elapsed_time
0,0,1925704.25,0.9999915061428788,0.5,0.4999957530714394,0.9999830123579032,,,,,,1.785831
0,1,1361320.625,0.999971183138019,0.5,0.4999855915690095,0.9999423671064496,,,,,,3.110215
0,2,,,,,,1464120.5,0.999993777452,0.5,0.499996888726,0.999987554944,0:00:09.929442
